tic_id,decision,final_class,confidence,period,period_err,depth,depth_err,duration,duration_err,snr,flag_reasons
259377017,DISCARD,No Signal,0.1100,4.529840,0.0001,0.000100,0.0001,2.264920,0.001,14.24,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
441420236,DISCARD,No Signal,0.0591,3.734772,0.0001,0.000100,0.0001,1.867386,0.001,8.41,"Low confidence signal, likely noise or artefact",,,skipped,,0,3
350618622,DISCARD,No Signal,0.1957,1.983114,0.0001,0.000100,0.0001,0.991557,0.001,5.79,"Low confidence signal, likely noise or artefact",,,skipped,,0,39
100990000,DISCARD,No Signal,0.1812,7.669740,0.0001,0.000100,0.0001,3.834870,0.001,6.97,"Low confidence signal, likely noise or artefact",,,skipped,,0,5
229742722,DISCARD,No Signal,0.1698,5.033186,0.0001,0.000100,0.0001,2.516593,0.001,6.38,"Low confidence signal, likely noise or artefact",,,skipped,,0,40
388857263,DISCARD,Planet Transit,0.0473,11.299439,0.0001,0.000100,0.0001,5.649719,0.001,11.40,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
229055790,DISCARD,No Signal,0.1559,10.536668,0.0001,0.000100,0.0001,5.268334,0.001,6.70,"Low confidence signal, likely noise or artefact",,,skipped,,0,4
271893367,DISCARD,No Signal,0.1389,4.683394,0.0001,0.000100,0.0001,2.341697,0.001,14.94,"Low confidence signal, likely noise or artefact",,,skipped,,0,44
144700903,DISCARD,No Signal,0.1113,1.862376,0.0001,0.000100,0.0001,0.931188,0.001,18.43,"Low confidence signal, likely noise or artefact",,,skipped,,0,4
261136679,DISCARD,No Signal,0.1416,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,7.10,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.1163,7.521058,0.0001,0.000100,0.0001,3.760529,0.001,19.00,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.1163,7.521058,0.0001,0.000100,0.0001,3.760529,0.001,19.00,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
